p_H,p_AI,a,b,c,r_squared,t50_t80_ratio,sigmoid_L,sigmoid_k,sigmoid_x0,overall_ai_win,score
0.9,0.92,0.1,0.5,1.3,0.9676495455582085,1.9616067759201465,99.99999999999942,-4.737654586057093,0.7000370704341883,24.82,0.514947289274745
0.9,0.99,0.1,0.5,1.3,0.958068325436234,1.9666844457579777,99.99999999999955,-4.719546043606177,0.8419256179090191,29.78,0.5110869085888253
0.9,0.99,0.05,0.75,1.3,0.9750042401675362,1.9014890191970504,99.999999999999,-4.967126654108409,1.1227137537562029,36.86,0.5036868790173838
0.9,0.92,0.1,0.75,1.3,0.9735511801248657,1.8826145347655743,97.9578851295205,-5.285667934443186,0.6994485981469382,24.169999999999998,0.49808027567071433
0.9,0.95,0.1,0.75,1.3,0.9649196810229373,1.871082996748876,99.99999999999926,-5.0949274521121035,0.73969875921388,26.1,0.4907000101927752
0.9,0.92,0.02,0.5,1.1,0.9608927138211393,13.359778293912687,81.76785854175914,-2.9833824425980544,1.916314641937125,51.78,0.4887049123214719
0.9,0.99,0.02,0.75,1.2,0.9855456316742961,1.819969722953485,94.4165507797488,-6.1340204246062076,1.785824609820399,55.64,0.48754053080807536
0.9,0.99,0.1,0.75,1.3,0.9487325851815296,1.8878845676732852,99.99999999999683,-5.023252718732546,0.8165644662572186,28.810000000000002,0.48670883552203154
0.9,0.99,0.02,0.5,1.2,0.9817787108750586,1.6974189578641157,92.8744138943486,-7.280751427559366,2.277748963934417,69.92,0.45145666750118824
0.9,0.99,0.05,0.3,1.1,0.9505927570518912,1.7106151692489027,91.68902263910569,-7.469757624802886,2.748176064674786,82.93,0.4407970581381426
0.9,0.99,0.02,0.75,1.1,0.9902524413582869,1.5058653085059872,94.6685475859795,-8.907149749390632,2.3065000123246686,72.08,0.3960662069782858
0.9,0.99,0.02,0.3,1.2,0.8910784087525914,1.5912597175341827,93.44290965978301,-8.144100202747621,2.981232880262988,90.21000000000001,0.3809752562820702
0.9,0.99,0.02,0.5,1.1,0.9671600437680976,1.4049985255499708,97.27407962227895,-9.999999999999998,2.996009223311079,94.39999999999999,0.3533027616907525
0.9,0.92,0.02,0.3,1.1,0.9451266005556275,23.108690275734777,84.27717037912376,-1.870683133163698,2.133531610722093,57.76,0.2217404819672803
0.9,0.95,0.02,0.3,1.1,0.5103004595852536,12841.632138240946,99.99999999999999,-0.33741117095774176,6.0206498941560245,82.28,0.0
0.9,0.99,0.02,0.3,1.1,-9.673852829905627e-10,2.631256024573627,97.98737850649928,-3.454066560954418,9.737888427499026,98.05,-6.568659234475753e-10
